Text;Emotion;Translated_Text
i didnt feel humiliated;sadness;aku tidak merasa terhina
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake;sadness;aku bisa pergi dari merasa begitu putus asa untuk begitu terkutuk penuh harapan hanya dari berada di sekitar seseorang yang peduli dan terjaga
im grabbing a minute to post i feel greedy wrong;anger;aku mengambil satu menit untuk posting saya merasa serakah salah
i am ever feeling nostalgic about the fireplace i will know that it is still on the property;love;saya pernah merasa nostalgia tentang perapian saya akan tahu bahwa itu masih di properti
i am feeling grouchy;anger;saya merasa menggerutu
ive been feeling a little burdened lately wasnt sure why that was;sadness;Aku merasa sedikit terbebani akhir-akhir ini tidak yakin mengapa itu
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny;surprise;ive telah mengambil atau miligram atau jumlah kali disarankan dan ive tertidur jauh lebih cepat tapi saya juga merasa seperti begitu lucu
i feel as confused about life as a teenager or as jaded as a year old man;fear;aku merasa bingung tentang kehidupan sebagai remaja atau sebagai letih sebagai orang tua tahun
i have been with petronas for years i feel that petronas has performed well and made a huge profit;joy;saya telah dengan petrolas selama bertahun-tahun saya merasa bahwa petronas telah dilakukan dengan baik dan membuat keuntungan besar
i feel romantic too;love;i merasa romantis juga
i feel like i have to make the suffering i m seeing mean something;sadness;i merasa seperti saya harus membuat penderitaan i m melihat berarti sesuatu
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter;joy;saya merasa bahwa berlari adalah pengalaman ilahi dan bahwa saya dapat mengharapkan untuk memiliki beberapa jenis pertemuan rohani
i think it s the easiest time of year to feel dissatisfied;anger;i think its waktu termudah tahun untuk merasa tidak puas
i feel low energy i m just thirsty;sadness;saya merasa energi rendah saya hanya haus
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious;joy;saya memiliki simpati besar dengan titik umum tetapi sebagai mungkin penulis proto mencoba untuk menemukan waktu untuk menulis di sudut-sudut kehidupan dan tanpa tanda-tanda agen apalagi kontrak penerbitan ini terasa sedikit berharga
i do not feel reassured anxiety is on each side;joy;saya tidak merasa tenang kecemasan ada di setiap sisi
i didnt really feel that embarrassed;sadness;aku tidak benar-benar merasa malu
i feel pretty pathetic most of the time;sadness;i merasa cukup menyedihkan sebagian besar waktu
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties;sadness;i mulai merasa sentimental tentang boneka saya sebagai seorang anak dan begitu mulai koleksi boneka barbie vintage dari enam puluhan
i now feel compromised and skeptical of the value of every unit of work i put in;fear;i sekarang merasa dikompromikan dan skeptis dari nilai setiap unit kerja yang saya masukkan
i feel irritated and rejected without anyone doing anything or saying anything;anger;i merasa jengkel dan ditolak tanpa ada yang melakukan apa-apa atau mengatakan apa-apa
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for;fear;saya merasa benar-benar kewalahan saya memiliki dua strategi yang membantu saya merasa beralasan mencurahkan hati saya keluar dalam jurnal saya dalam bentuk surat kepada Tuhan dan kemudian berakhir dengan daftar lima hal saya sangat berterima kasih untuk
i have the feeling she was amused and delighted;joy;Aku punya perasaan dia senang dan senang
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me;joy;Aku bisa membantu chai lifeline dengan dukungan dan dorongan Anda adalah perasaan yang besar dan saya sangat senang Anda bisa membantu saya
i already feel like i fucked up though because i dont usually eat at all in the morning;anger;i sudah merasa seperti saya kacau meskipun karena saya tidak biasanya makan sama sekali di pagi hari
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed;sadness;saya masih mencintai saya jadi dan berharap yang terbaik untuknya saya tidak bisa lagi mentolerir efek yang bm telah pada hidup kita dan kenyataan yang telah berubah saya begitu menjadi orang marah pahit yang tidak selalu terutama baik kepada orang-orang di sekitarnya ketika ia merasa stres
i feel so inhibited in someone elses kitchen like im painting on someone elses picture;sadness;i merasa begitu terhambat di dapur orang lain seperti im melukis pada gambar orang lain
i become overwhelmed and feel defeated;sadness;i menjadi kewalahan dan merasa dikalahkan
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp;anger;aku merasa agak terkejut bahwa dia merasa seperti dia perlu menjelaskan dalam lebar dan lebar tubuhnya langkah-langkah dll
i feel more superior dead chicken or grieving child;joy;aku merasa lebih unggul ayam mati atau anak berduka
i get giddy over feeling elegant in a perfectly fitted pencil skirt;joy;i mendapatkan pusing atas merasa elegan dalam rok pensil dilengkapi sempurna
i remember feeling acutely distressed for a few days;fear;i ingat merasa akutly tertekan selama beberapa hari
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies;surprise;saya telah melihat mendengar dan membaca selama beberapa hari terakhir saya pergi merasa terkesan oleh lebih dari beberapa perusahaan
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day;anger;i naik bukit merasa frustrasi bahwa id cukup banyak langkah sama sekali salah untuk kursus ini dan bahwa faktor yang tidak pernah menghambat saya telah membuat seperti penyok di hari
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently;joy;aku tidak bisa membayangkan skenario kehidupan nyata di mana saya akan cukup terhubung secara emosional dengan seseorang merasa benar-benar diterima dan aman di mana secara moral diterima bagi saya untuk memiliki dekat dan berkepanjangan kontak fisik dan di mana seks tidak diharapkan kemudian
i am not sure what would make me feel content if anything;joy;saya tidak yakin apa yang akan membuat saya merasa puas jika ada
i have been feeling the need to be creative;joy;Aku merasa perlu kreatif.
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them;joy;bagaimanapun juga aku ingin kau tahu bahwa jika sesuatu yang menyebabkan kau merasa kurang maka dirimu yang indah menjauh dari mereka
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed;anger;saya merasa sedikit kasar menulis kepada seorang pria tua untuk meminta hadiah karena saya merasa sedikit serakah tapi apa Natal tentang jika tidak keserakahan ringan
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words;joy;i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired;joy;i berencana untuk berbagi kisah hidup sehari-hari perjalanan petualangan inspirasi dan ciptaan tangan dengan Anda dan berharap Anda juga akan merasa terinspirasi
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book;joy;saya sudah memiliki pohon Natal saya sampai saya punya dua dan saya merasa meriah yang saya yakin adalah memacu saya untuk memulai buku ini
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect;joy;aku pernah memakainya sekali sendiri dengan penyembunyi kecil dan untuk hari-hari aku merasa berani tapi tidak ingin menjadi pucat maka sempurna
i feel very strongly passionate about when some jerk off decides to poke and make fun of us;joy;aku merasa sangat bergairah tentang ketika beberapa jerk off memutuskan untuk menusuk dan mengolok-olok kami
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way;sadness;aku merasa begitu kecil hati kita sudah merampok Peter untuk membayar Paul untuk mendapatkan sapi kami tahun ini tapi kita tidak mampu untuk tidak mendapatkan sapi dengan cara ini
i was feeling listless from the need of new things something different;sadness;i merasa lesu dari kebutuhan hal-hal baru sesuatu yang berbeda
